news_author,news_headline,related_tweet,post_replies,post_retweets,post_favourites,post_quotes,user_followers,user_following,user_friends,user_mentions,user_favourites,user_tweets_count,user_tweet_count_lists,user_country,misinformation
Ciara O'Rourke,Says Joe Biden said a racial slur.,@RitaPanahi Someone called the rock a racial slur back in 1920 so it has to go. The lunacy of Biden supporters continues,0.0,0,0,0,133.0,,57.0,1.0,8139.0,25873.0,4.0,US,0.0
Ciara O'Rourke,Early morning election results from Michigan and Wisconsin show voter fraud.,"@JosephFordCotto There was voter fraud in Texas just like in Michigan, wisconsin, Georgia, Florida, and PA. As intelligent as you appear to be, you cant honestly believe Biden received 81M votes. Its an extreme statistical improbability based on the number of counties won.",0.0,0,1,1,218.0,,260.0,1.0,30345.0,3856.0,2.0,US,0.0
Tom Kertscher,The Pfizer COVID-19 vaccine is not approved.,@MarieBecquelin @RolandSpbx The FDA made an announcement that the blood thinner Pradaxa had been approved for use in children not that a blood thinner had been added to the Pfizer vaccine for children,1.0,0,0,0,69.0,0.0,183.0,2.0,220.0,22256.0,7.0,,0.0
Jon Greenberg,"Our doctors get more money if somebody dies from COVID.  So what they do is they say, I'm sorry, but, you know, everybody dies of COVID.""",@TheLastLeg #isitok that Trump has told voters 'Our doctors get more money if someone dies of Covid'?,0.0,0,0,0,35.0,,57.0,1.0,5.0,64.0,1.0,US,0.0
Tom Kertscher,Africans living in China now being forced to sleep outside in the cold as Chinese nationals blame them for the rising number of new coronavirus cases in the country.,"@vanguardngrnews @vanguardngr Everything is an award in African Politics! Even when the president sleep with the Vice President wife... it's an award! Nonsensical ideology! Soon, China will be selling Africans into war in the middle East...a matter of time!",0.0,0,0,0,44.0,,62.0,2.0,1395.0,1280.0,0.0,,1.0
Jon Greenberg,"Says President Barack Obama spied on my campaign, and got caught!","@realDonaldTrump
Roger Stone was targeted by an illegal Witch Hunt that never should have taken place. It is the other side that are criminals, including Biden and Obama, who spied on my campaign  AND GOT CAUGHT! Kaboom!! And Robert Mueller knew it all along",0.0,0,0,0,497.0,414.0,962.0,1.0,4685.0,8170.0,1.0,,0.0
Tom Kertscher,The Pfizer COVID-19 vaccine is not approved.,"@covidvaxsucks @dragonfan817 @MJRosenbergDad @RepSwalwell @GOPLeader Its not an experimental drug, over 2 billion people worldwide have taken the vaccine and Pfizer has been fully approved by the FDA. 

Our government has long had mandates for vaccines and passed many laws in the interest of public health and safety.",1.0,0,0,0,538.0,,639.0,5.0,14345.0,63199.0,13.0,,0.0
Louis Jacobson,Absentee voting is different from mail-in voting and has more protections against fraud.,"@FeynmanHoward @BorisEP Absentee voting is different than mail in ballots. Educate yourself please. Absentee requires a request to a specific address, signature verification, and the vote has to be in before Election Day. Mail ins dont require any of this so its random ballots being sent out anywhere",1.0,0,3,0,297.0,0.0,15.0,2.0,6968.0,3292.0,0.0,,0.0
Sarah Hauer,"The United States is ""the oldest democracy"" in the world.","I pray for God to bless the United States of America to come out of what could be seen as a potentially dangerous situation, in Washington DC. 

The United states need an accepted president on January 20th. Let a Venezuela like situation not occur in the oldest modern democracy",0.0,0,1,0,343.0,,170.0,0.0,11721.0,3599.0,0.0,US,1.0
Emily Venezky,America was the ONLY country that ended slavery,"After seeing Red Tails, I realized America was the only country who really discriminated against black people long after slavery ended.",1.0,0,0,0,1283.0,0.0,1232.0,0.0,735.0,21660.0,1.0,,0.0
Eric Stirgus,"""Forty-seven percent of (members of Congress) are millionaires.""","@AngelaBelcamino @POTUS It's not his job to do.  That's on Congress.  And they have yet, to even attempt it. Why|  Because they can't.  Biden can't nor shouldn't cancel all Debt. I'm not paying for some millionaires kid at Harvard to have his debt paid",2.0,2,16,0,407.0,,626.0,2.0,34641.0,23322.0,1.0,US,1.0
Bill McCarthy,"Some states are only getting 50 tests per day, and the Utah Jazz got 58.",@MoHFW_INDIA @ICMRDELHI @PMOIndia @drharshvardhan @AshwiniKChoubey @PIB_India @mygovindia @DDNewslive @airnewsalerts @CovidIndiaSeva @MIB_India @COVIDNewsByMIB Cheating the country very nicely by conducting rapid antigen tests which are unreliable completely. Very soon you will say you reached 50 lakh tests also per day because all will be rapid antigen. Ask  all states to learn from Tamilnadu how to conduct RTPCR tests.,1.0,0,1,1,89.0,,19.0,8.0,4520.0,2838.0,5.0,US,1.0
